,title,category,type,level,description,price,rating,duration,language,prerequisites,syllabus,modules,instructor,certificate_type,association,image,url,timestamp
45,IT Support Google Professional Certificate,Support and Operations,professional certificates,Beginner Level,"Bersiaplah untuk berkarier di bidang IT yang sedang tumbuh pesat, tidak diperlukan pengalaman atau gelar apa pun di sini. Dengan pelatihan profesional yang dirancang Google, bergeraklah di jalur cepat untuk mendapatkan pekerjaan dengan gaji yang kompetitif. Melalui 5 materi yang ada, Anda dapat memperoleh keterampilan yang banyak dibutuhkan dan siap bekerja di tingkat pemula. Hanya membutuhkan waktu kurang dari 10 jam per minggu, dan Anda dapat memperoleh sertifikat dalam waktu kurang dari 6 bulan. Setelah menyelesaikan program sertifikasi ini, Anda bisa mendapatkan kesempatan untuk bekerja dengan mitra konsorsium Google dari berbagai industri.",free,4.9,Approximately 6 months to complete,Indonesian,no prerequisites needed,No specify data,"Introduction to SRE,Targeting Reliability,Operating for Reliability,Choosing a Good SLI,Developing SLOs and SLIs,Quantifying Risks to SLOs,Consequences of SLO Misses ,Instructor,Offered by,Recommended if you're interested in Cloud Computing,More questions","Google Cloud TrainingGoogle Cloud1,482 Courses•2,615,884 learners,Google CloudLearn moreCloseOffered byGoogle CloudWe help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.OK",Shareable Certificate,Google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~sertifikat-it-support-profesional-google/XDP~SPECIALIZATION!~sertifikat-it-support-profesional-google.jpeg,https://www.coursera.org/professional-certificates/sertifikat-it-support-profesional-google,2022-07-30 00:09:29
46,Sistem Operasi dan Anda: Menjadi Pengguna yang Berdaya,Support and Operations,course,Beginner Level,"Dalam materi ini — melalui kombinasi pembelajaran melalui video, demonstrasi, dan praktik langsung — Anda akan belajar tentang komponen utama sistem operasi dan cara melakukan sejumlah tugas penting seperti mengelola perangkat lunak dan pengguna, serta mengonfigurasi perangkat keras.",free,4.9,Approx. 35 hours to complete,Indonesian,no prerequisites needed,"Menavigasi Sistem ~.~ Selamat datang di materi sistem operasi untuk Sertifikasi IT Support Profesional . Pada minggu pertama materi ini, kita akan membahas dasar-dasar sistem operasi (OS) Windows dan Linux. Kita akan belajar pula tentang cara kerja direktori dan file pada OS Windows dan Linux . Anda juga akan mempelajari cara-cara praktis memanipulasi file dan direktori dengan graphical user interface (GUI) Windows, command line interface (CLI) Windows, dan shell Linux. Di akhir modul ini, Anda akan berinteraksi dengan file dan direktori serta melakukan manipulasi teks dasar pada OS Windows dan Linux . ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Pengguna dan Izin Akses ~.~ Di pelatihan minggu kedua ini, kita akan mempelajari konfigurasi pengguna dan izin akses di Windows dan Linux OS. Sebagai seorang IT Support Specialist, penting untuk mengetahui cara memberikan izin akses yang sesuai kepada pengguna dan grup untuk Windows dan Linux OS. Pada akhir modul ini, Anda akan mengetahui cara menambah, mengubah, dan menghapus pengguna komputer dan file dan folder tertentu dengan menggunakan Windows GUI, Windows CLI, dan Linux shell. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Manajemen Paket dan Perangkat Lunak ~.~ Pada materi di minggu ketiga ini, kita akan belajar tentang manajemen paket dan perangkat lunak di sistem operasi Windows dan Linux. Penting untuk mengetahui cara kerja penginstalan paket dan bagaimana perangkat dan driver dikelola dalam sistem operasi ini. Kita juga akan belajar tentang berbagai metode pengemasan dan kompresi file. Pada akhir modul ini, Anda akan mengetahui cara membuat, memperbarui, dan menghapus perangkat lunak dengan menggunakan Windows GUI, Windows CLI, dan Linux shell. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Sistem file ~.~ Di pelatihan minggu keempat ini, kita akan mempelajari cara kerja sistem file untuk Windows dan Linux OS. Kita akan mempelajari macam-macam sistem file dan perbedaannya untuk OS tertentu. Kita akan mempelajari partisi disk dan memori virtual dan mengapa ini penting untuk seorang IT Support Specialist. Kami juga akan membahas cara memasang dan melepas sistem file, membaca penggunaan disk, dan memperbaiki sistem file. Di akhir modul ini, Anda akan mempartisi dan memformat disk drive sendiri di Windows dan Linux. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Manajemen Proses ~.~ Pada materi di minggu kelima ini, kita akan mempelajari manajemen proses. Sebagai seorang Spesialis IT Support, penting menggunakan alat sistem untuk membaca dan memahami status proses komputer. Kita akan membahas cara memulai dan mengakhiri proses pada Windows dan Linux. Kita juga akan mengaplikasikan alat pemecahan masalah untuk mengatasi masalah proses dan sumber daya. Pada akhir modul ini, Anda akan menggunakan perintah Windows dan Linux untuk melakukan praktik pemeliharaan proses. ~.~ Sistem Operasi dalam Praktik ~.~ Selamat, Anda berhasil sampai pada minggu terakhir dari materi ini. Pada minggu terakhir materi ini, kami akan membahas beberapa aspek praktis dari sistem operasi yang akan Anda gunakan dalam Dukungan Teknis IT sepanjang waktu. Kami akan membahas akses jarak jauh dan cara memecahkan masalah komputer dari jauh. Kami akan mengeksplorasi alat virtualisasi untuk mengelola dan menghapus instance virtual, menggunakan log untuk pemantauan sistem, dan menunjukkan beberapa teknik yang berbeda untuk pemasangan OS. Pada akhir modul ini, Anda akan menerapkan semua keterampilan dari materi ini untuk melakukandebug pada beberapa masalah di dalam Windows dan Linux OS. Semoga berhasil.","The Importance of Velocity & The Jobs of Delivery,Your Testing Stack,Infrastructure and The Jobs of Ops,Delivering Continuously,Instructor,Offered by,Recommended if you're interested in Software Development,More questions","Alex CowanUniversity of Virginia25 Courses•478,846 learners,University of VirginiaLearn moreCloseOffered byUniversity of VirginiaA premier institution of higher education, The University of Virginia offers outstanding academics, world-class faculty, and an inspiring, supportive environment. Founded by Thomas Jefferson in 1819, the University is guided by his vision of discovery, innovation, and development of the full potential of students from all walks of life. Through these courses, global learners have an opportunity to study with renowned scholars and thought leaders.OK",Shareable Certificate,Google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya/XDP~COURSE!~sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya.jpeg,https://www.coursera.org/learn/sistem-operasi-dan-anda-menjadi-pengguna-yang-berdaya,2022-07-30 00:09:29
47,Dasar-Dasar Dukungan Teknis,Support and Operations,course,Beginner Level,"Materi ini adalah rangkaian pertama dari keseluruhan program pelatihan yang akan membantu Anda untuk berperan sebagai IT Support Specialist tingkat pemula. Dalam kursus ini, Anda akan diperkenalkan ke dunia Teknologi Informasi, atau IT. Anda akan mempelajari berbagai aspek Teknologi Informasi, seperti perangkat keras komputer, Internet, perangkat lunak komputer, pemecahan masalah, dan layanan pelanggan. Pelatihan ini mencakup berbagai topik dalam dunia IT yang dirancang untuk memberi Anda gambaran tentang pelajaran apa yang akan diperoleh melalui program sertifikasi ini.",free,4.9,Approx. 24 hours to complete,Indonesian,no prerequisites needed,"Pengantar IT ~.~ Selamat Datang di Dasar-Dasar Dukungan Teknis, materi pertama dalam program Sertifikasi Teknisi IT Profesional! Dengan mengikuti pelatihan ini, Anda telah mengambil langkah pertama untuk memulai karier di bidang teknologi. Pada minggu pertama pelatihan ini, kita akan belajar tentang bagaimana komputer diciptakan, bagaimana komputer telah berevolusi dari waktu ke waktu, dan bagaimana cara kerja komputer saat ini. Kita juga akan belajar mengenai apa yang dimaksud dengan profesi ""Spesialis Teknisi IT"" dan apa yang mereka lakukan. Pada akhir modul ini, Anda akan memahami bagaimana cara kerja komputasi komputer menggunakan sistem biner dan mengapa metode perhitungan ini memiliki arti penting bagi masyarakat. Mari kita mulai! ~.~ Catatan: Dalam beberapa bacaan, terdapat tautan menuju halaman/konten berbahasa Inggris. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Perangkat keras ~.~ Di pelatihan minggu kedua ini, kita akan belajar tentang apa isi di dalam komputer. Kita akan mempelajari tentang aneka komponen perangkat keras yang  ada di dalam komputer. Kita akan mengetahui apa fungsi tiap komponen dan bagaimana mereka bekerja agar komputer dapat berfungsi. Di akhir modul ini, Anda juga akan mengetahui cara merakit komputer dari nol! ~.~ Sistem Operasi ~.~ Pada materi di minggu ketiga ini kita akan belajar mengenai sistem operasi. Kita akan berdiskusi mengenai sistem operasi yang paling banyak digunakan saat ini dan mempelajari bagaimana sistem operasi berinteraksi dengan perangkat keras komputer. Kita akan mempelajari tentang proses mulainya sistem operasi dan menunjukkan dari awal cara menginstal sistem operasi Windows, Linux dan Mac OS X. Di akhir modul ini, Anda akan berinteraksi langsung dengan sistem operasi Windows dan Linux menggunakan Qwiklabs. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Jaringan ~.~ Di pertemuan minggu keempat ini, kita akan  belajar tentang jaringan komputer. Kita akan mempelajari sejarah Internet dan apa sebenarnya yang disebut dengan ""Web"". Kita juga akan membahas berbagai topik seperti privasi dan keamanan Internet, serta bagaimana internet di masa depan. Anda juga akan memahami mengapa Internet memiliki keterbatasan sampai hari ini. Di akhir modul, Anda akan dapat memahami bagaimana Internet bekerja  serta mengenali dampak positif dan negatif Internet terhadap dunia. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Perangkat lunak ~.~ Pada materi di minggu kelima ini, kita akan belajar tentang perangkat lunak komputer. Kita akan belajar tentang pengertian perangkat lunak serta berbagai jenis perangkat lunak yang mungkin Anda temui sebagai Spesialis IT Support. Kita juga akan mempelajari cara mengelola perangkat lunak dan menilik kembali konsep ""abstraksi"". Di akhir modul ini, Anda akan menggunakan platform Qwiklabs untuk menginstal, memperbarui, dan menghapus perangkat lunak pada sistem operasi Windows dan Linux. ~.~ Pemecahan masalah ~.~ Selamat, Anda berhasil sampai pada minggu terakhir materi ini! Di minggu terakhir ini, kita akan mempelajari pentingnya pemecahan masalah dan dukungan pelanggan. Kita akan mempelajari beberapa skenario di dunia nyata yang mungkin akan Anda temui jika Anda bertugas di bagian Help Desk atau Desktop Support. Kita akan belajar pentingnya berempati kepada pengguna ketika Anda bekerja di dunia teknologi. Terakhir, kita akan mempelajari mengapa penulisan ~.~ dokumentasi menjadi aspek penting di semua peranan kerja TI. Pada akhir modul ini, Anda akan menggunakan soft skill dan menulis dokumentasi untuk berkomunikasi dengan orang lain."," Introduction to Computing Fundamentals,Computing Devices and Peripherals,Interfaces and Connectors,Internal Computer Components,Windows Workstation Setup, Evaluation, and Troubleshooting,Final Quiz and Assignment,Bonus Module - Exploring Additional Desktop and Mobile Operating Systems,Instructor,Offered by,Recommended if you're interested in Support and Operations,More questions","IBM Skills Network TeamIBM58 Courses•840,269 learners,IBMLearn moreCloseOffered byIBMIBM is the global leader in business transformation through an open hybrid cloud platform and AI, serving clients in more than 170 countries around the world. Today 47 of the Fortune 50 Companies rely on the IBM Cloud to run their business, and IBM Watson enterprise AI is hard at work in more than 30,000 engagements. IBM is also one of the world’s most vital corporate research organizations, with 28 consecutive years of patent leadership. Above all, guided by principles for trust and transparency and support for a more inclusive society, IBM is committed to being a responsible technology innovator and a force for good in the world. 
For more information about IBM visit: www.ibm.comOK",Shareable Certificate,Google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~dasar-dasar-dukungan-teknis/XDP~COURSE!~dasar-dasar-dukungan-teknis.jpeg,https://www.coursera.org/learn/dasar-dasar-dukungan-teknis,2022-07-30 00:10:04
48,Fundamentos do Suporte Técnico,Support and Operations,course,Beginner Level,"Ele é o primeiro de uma série que visa prepará-lo para entrar no mercado de TI como especialista de suporte técnico. Neste curso, apresentaremos o mundo da Tecnologia da Informação, ou TI. Você aprenderá sobre diversas facetas da Tecnologia da Informação, como hardware, software, internet, resolução de problemas e atendimento ao cliente. Mostraremos como uma entrevista técnica costuma transcorrer e daremos dicas de como se preparar melhor para esse tipo de ocasião. Este curso abrange uma vasta gama de tópicos da TI, sendo projetado para mostrar um panorama do que está por vir neste programa de certificado.",free,4.9,Approx. 23 hours to complete,Portuguese (Brazilian),no prerequisites needed,"INTRODUÇÃO A TI ~.~ Olá! Este é o Fundamentos do suporte técnico, o primeiro curso do Certificado Profissional de Suporte em TI! Ao se inscrever no curso, você dará o primeiro passo para iniciar sua carreira no ramo da tecnologia. Na primeira semana do curso, veremos como os computadores foram inventados, sua evolução ao longo do tempo e como funcionam hoje. Além disso, vamos entender o que é ser ""Especialista em Suporte de TI"" e quais são suas atribuições. Ao final deste módulo, você saberá contar como um computador, usando o sistema binário, e entenderá por que esses cálculos são tão importantes para a sociedade. Tudo pronto, então? Vamos começar! ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Hardware ~.~  ~.~ Sistema operacional ~.~ Na terceira semana deste curso, aprenderemos sobre sistemas operacionais. Falaremos sobre os sistemas operacionais mais comuns usados hoje e entenderemos como eles funcionam com o hardware do computador. Aprenderemos sobre o ""processo de boot"" de um sistema operacional e mostraremos como instalar os sistemas operacionais Windows, Linux e Mac OSX desde o início. Até o fim deste módulo, você usará o ambiente Qwiklabs para interagir diretamente com os sistemas operacionais Windows e Linux. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Redes ~.~ Na quarta semana deste curso, aprenderemos sobre redes de computadores. Vamos explorar a história da internet e saber o que de fato é a ""web"". Também falaremos sobre privacidade, segurança e como será o futuro da internet. Você também entenderá por que a internet tem limitações até hoje em dia. Até o fim deste módulo, você saberá como a internet funciona e reconhecerá os impactos positivos e negativos da internet no mundo. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Software ~.~ Na quinta semana deste curso, vamos falar sobre os softwares de computador. Entenderemos o que é realmente um software e veremos os diversos tipos de software com que você pode se deparar sendo um especialista em suporte de TI. Além disso, vamos entender como gerenciar softwares e rever o conceito de ""abstração"". Ao fim do módulo, você usará o ambiente Qwiklabs para instalar, atualizar e remover software nos sistemas operacionais Windows e Linux. ~.~ Resolução de problemas ~.~ Parabéns, você chegou na última semana do curso! Na semana final, vamos falar sobre a importância da resolução de problemas e do atendimento ao cliente. Vamos retratar alguns cenários reais que você pode encontrar trabalhando em centrais de ajuda ou com suporte inicial. Entenderemos por que é importante ter empatia com o usuário quando se trabalha na área de tecnologia. E, por fim, veremos por que escrever documentação é um aspecto importante de qualquer cargo de TI. Ao fim deste módulo, você utilizará habilidades interpessoais e escreverá uma documentação para se comunicar com outras pessoas.","Get exclusive access to career resources upon completion,Dasar-Dasar Dukungan Teknis,Seluk Beluk Jaringan Komputer,Sistem Operasi dan Anda: Menjadi Pengguna yang Berdaya,Administrasi Sistem dan Layanan Infrastruktur TI,Keamanan IT: Pertahanan terhadap Kejahatan Digital,Instructors,Offered by,More questions","Top InstructorOnlea supportGoogle18 Courses•265,042 learners,Top InstructorGoogle Career CertificatesGoogle324 Courses•10,126,544 learners,GoogleLearn moreCloseOffered byGoogleGrow with Google is an initiative that draws on Google's decades-long history of building products, platforms, and services that help people and businesses grow. We aim to help everyone – those who make up the workforce of today and the students who will drive the workforce of tomorrow – access the best of Google’s training and tools to grow their skills, careers, and businesses.OK",Shareable Certificate,Google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentos-do-suporte-tecnico/XDP~COURSE!~fundamentos-do-suporte-tecnico.jpeg,https://www.coursera.org/learn/fundamentos-do-suporte-tecnico,2022-07-30 00:10:04
49,Palo Alto Networks Cybersecurity Professional Certificate,Security,professional certificates,Beginner Level,"The Palo Alto Networks Cybersecurity Professional Certificate prepares students for entry level careers in cybersecurity, with an emphasis on learning the fundamentals of Networking, Network Security, Cloud Security, and Security Operations related to Palo Alto Networks Technology and the cybersecurity industry as a whole.",free,4.7,Approximately 6 months to complete,English,no prerequisites needed,No specify data,"Menavigasi Sistem,Pengguna dan Izin Akses,Manajemen Paket dan Perangkat Lunak,Sistem file,Manajemen Proses,Sistem Operasi dalam Praktik,Instructor,Offered by,Recommended if you're interested in Support and Operations,More questions","Top InstructorGoogle Career CertificatesGoogle324 Courses•10,126,544 learners,GoogleLearn moreCloseOffered byGoogleGrow with Google is an initiative that draws on Google's decades-long history of building products, platforms, and services that help people and businesses grow. We aim to help everyone – those who make up the workforce of today and the students who will drive the workforce of tomorrow – access the best of Google’s training and tools to grow their skills, careers, and businesses.OK",Shareable Certificate,Palo Alto Networks,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~palo-alto-networks-cybersecurity-fundamentals/XDP~SPECIALIZATION!~palo-alto-networks-cybersecurity-fundamentals.jpeg,https://www.coursera.org/professional-certificates/palo-alto-networks-cybersecurity-fundamentals,2022-07-30 00:10:04
50,Oracle Cloud Infrastructure Foundations,Cloud Computing,course,Beginner Level,"Welcome to the course OCI Foundations Course. This course is a starting point to prepare you for the Oracle Cloud Infrastructure Foundations Associate Certification. Begin with an introduction of the OCI platform, and then dive into the core primitives, compute, storage, networking, identity, databases, security, and more.",free,4.7,Approx. 14 hours to complete,English,no prerequisites needed,"Getting Started with OCI ~.~ Kick start your Cloud journey with a strong foundation in core concepts, architecture and features of Oracle Cloud Infrastructure (OCI) ~.~ Compute,Storage and Database ~.~ This module focuses on the key features of Cloud. It gives an insight into the basic concepts for optimizing the use of these services. ~.~ OCI Services ~.~ Oracle Cloud has a broad platform of cloud services to support a  wide range of applications in a scalable environment. This module is a walkthrough of a few of the popular OCI services. ~.~ OCI Security and Administration ~.~ This module focuses on the key features of Cloud. It gives an insight into the basic concepts for optimizing the use of these services. ~.~ Next Steps: Certification ~.~ ","Pengantar IT ,Perangkat keras,Sistem Operasi,Jaringan,Perangkat lunak,Pemecahan masalah,Instructors,Offered by,Recommended if you're interested in Support and Operations,More questions","Top InstructorGoogle Career CertificatesGoogle324 Courses•10,126,544 learners,Top InstructorOnlea supportGoogle18 Courses•265,042 learners,GoogleLearn moreCloseOffered byGoogleGrow with Google is an initiative that draws on Google's decades-long history of building products, platforms, and services that help people and businesses grow. We aim to help everyone – those who make up the workforce of today and the students who will drive the workforce of tomorrow – access the best of Google’s training and tools to grow their skills, careers, and businesses.OK",Shareable Certificate,Oracle,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~oraclecloud-infrastructure-foundations/XDP~COURSE!~oraclecloud-infrastructure-foundations.jpeg,https://www.coursera.org/learn/oraclecloud-infrastructure-foundations,2022-07-30 00:10:33
51,Juniper Networks Junos Platform Automation and DevOps Specialization,Cloud Computing,specializations,Beginner Level,"This specialization demonstrates the basics of Junos OS DevOps automation Tools, protocols and technologies.  This specialization covers basic DevOps principles, Junos APIs, and the Network Configuration Protocol (NETCONF). It focuses on using Python, Junos PyEZ, Ansible, and the Junos Representational State Transfer (REST) API to automate Junos platforms. Extensible Markup Language (XML), JavaScript Object Notation (JSON), and YAML Ain't Markup Language (YAML) are introduced as data formats that facilitate Junos automation.",free,4.0,Approximately 1 month to complete,English,no prerequisites needed,No specify data,"INTRODUÇÃO A TI,Hardware,Sistema operacional,Redes,Software,Resolução de problemas,Instructors,Offered by,Recommended if you're interested in Support and Operations,More questions","Top InstructorGoogle Career CertificatesGoogle324 Courses•10,126,544 learners,Top InstructorOnlea supportGoogle18 Courses•265,042 learners,GoogleLearn moreCloseOffered byGoogleGrow with Google is an initiative that draws on Google's decades-long history of building products, platforms, and services that help people and businesses grow. We aim to help everyone – those who make up the workforce of today and the students who will drive the workforce of tomorrow – access the best of Google’s training and tools to grow their skills, careers, and businesses.OK",Shareable Certificate,Juniper Networks,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ijaut/XDP~SPECIALIZATION!~ijaut.jpeg,https://www.coursera.org/specializations/ijaut,2022-07-30 00:10:33
52,IBM Technical Support  Professional Certificate,Support and Operations,professional certificates,Beginner Level,Get ready for a rewarding,free,4.7,Approximately 8 months to complete,English,no prerequisites needed,No specify data,"Get exclusive access to career resources upon completion,Palo Alto Networks Cybersecurity Foundation,Palo Alto Networks Network Security Fundamentals,Palo Alto Networks Cloud Security Fundamentals,Palo Alto Networks Security Operations  Fundamentals,Instructor,Offered by,More questions","James DaltonPalo Alto Networks9 Courses•55,011 learners,Palo Alto NetworksLearn moreCloseOffered byPalo Alto NetworksThe Palo Alto Networks Cybersecurity Academy equips students with leading-edge cybersecurity knowledge and skills they will need to protect their digital way of life and prepare for the many unfilled jobs in cybersecurity.OK",Shareable Certificate,IBM Skills Network,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~ibm-technical-support/XDP~SPECIALIZATION!~ibm-technical-support.jpeg,https://www.coursera.org/professional-certificates/ibm-technical-support,2022-07-30 00:10:33
53,Technical Support Fundamentals,Support and Operations,course,Beginner Level,"This course is the first of a series that aims to prepare you for a role as an entry-level IT Support Specialist. In this course, you’ll be introduced to the world of Information Technology, or IT. You’ll learn about the different facets of Information Technology, like computer hardware, the Internet, computer software, troubleshooting, and customer service. This course covers a wide variety of topics in IT that are designed to give you an overview of what’s to come in this certificate program.",free,4.8,Approx. 20 hours to complete,English,no prerequisites needed,"Introduction to IT ~.~ Welcome to Technical Support Fundamentals, the first course of the IT Support Professional Certificate! By enrolling in this course, you are taking the first step to kickstarting your career in tech. In the first week of the course, we'll learn about how computers were invented, how they've evolved over time, and how they work today. We will also learn about what an ""IT Support Specialist"" is and what they do in their job. By the end of this module, you will know how to count like a computer using binary and understand why these calculations are so powerful for society. So let's get started! ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Hardware ~.~ In the second week of this course, we'll learn about what's inside a computer. We'll learn all about the hardware components or different pieces inside a computer. We'll discover what each component does and how they work together to make a computer function. By the end of this module, you will also know how to build a computer from scratch! ~.~ Operating System ~.~ In the third week of the course we will become familiar with operating systems. We discuss the operating systems that are most widely used today and learn how an operating system interacts with computer hardware. We will learn about the startup process of an operating system and show you how to install the Windows, Linux and Mac OS X operating systems from scratch. At the end of this module you will interact directly with the Windows and Linux operating systems via the Qwiklabs environment. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Networking ~.~ In the fourth week of this course, we'll learn about computer networking. We'll explore the history of the Internet and what ""The Web"" actually is. We'll also discuss topics like Internet privacy, security, and what the future of the Internet may look like. You'll also understand why the Internet has limitations even today. By the end of this module, you will know how the Internet works and recognize both the positive and negative impacts the Internet has had on the world. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Software ~.~ In the fifth week of this course, we'll learn about computer software. We'll learn about what software actually is and the different types of software you may encounter as an IT Support Specialist. We'll also explore how to manage software and revisit the concept of ""abstraction."" By the end of this module, you'll use the Qwiklabs environment to install, update and remove software on both Windows and Linux operating systems. ~.~ Troubleshooting ~.~ Congratulations, you've made it to the last week of the course! In the final week, we'll learn about the importance of troubleshooting and customer support. We'll go through some real-world scenarios that you might encounter at a Help Desk or Desktop Support role. We'll learn why empathizing with a user is super important when working in a tech role. Finally, we'll learn why writing documentation is an important aspect of any IT role. By the end of this module, you will utilize soft skills and write documentation to communicate with others.","Getting Started with OCI,Compute, Storage and Database,OCI Security and Administration,Next Steps : Certification,Instructor,Offered by,Recommended if you're interested in Cloud Computing,More questions","Rohit RahiOracle4 Courses•21,823 learners,OracleLearn moreCloseOffered byOracleOracle offers integrated suites of applications, plus secure, autonomous infrastructure in Oracle Cloud. Oracle Cloud Infrastructure (OCI) is the next-generation cloud designed to run any application, faster and more securely, for less. OCI is a complete cloud infrastructure platform for every workload, with all the services needed to migrate, build, and run all of your IT, from existing enterprise workloads to new cloud native applications and data platforms. Oracle University is a leader in cloud education, providing modern learning solutions across Oracle’s entire product portfolio that enable our customers to master their Oracle Cloud solutions and maximize their investments. Oracle University and Coursera have partnered to increase accessibility of cloud skills training to help individuals and enterprises gain cloud expertise by offering four OCI courses and one Oracle Autonomous Database course for free. To learn more about OCI, visit https://www.oracle.com/cloud.OK",Shareable Certificate,Google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~technical-support-fundamentals/XDP~COURSE!~technical-support-fundamentals.jpeg,https://www.coursera.org/learn/technical-support-fundamentals,2022-07-30 00:10:53
54,Google IT Automation with Python Professional Certificate,Support and Operations,professional certificates,Beginner Level,"This beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.",free,4.8,Approximately 6 months to complete,English,no prerequisites needed,No specify data,"Juniper Networks Junos Automation Basics and XML,Juniper Networks Automation Using Python and PyEZ,Juniper Networks Automation Using Ansible and the REST API ,Instructor,Offered by,More questions","Gordon Juniper Networks9 Courses•4,878 learners,Juniper NetworksLearn moreCloseOffered byJuniper NetworksAt Juniper, we strive to deliver network experiences that transform how people connect, work and live. 

By challenging the inherent complexity in the Cloud + 5G + AI era, our solutions power the connections that matter most - from education to healthcare to secure banking. Our commitment is to advance real outcomes for network teams and every individual they serve. OK",Shareable Certificate,Google,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-automation/XDP~SPECIALIZATION!~google-it-automation.jpeg,https://www.coursera.org/professional-certificates/google-it-automation,2022-07-30 00:10:53
55,IBM DevOps and Software Engineering Professional Certificate,Software Development,professional certificates,Beginner Level,"DevOps professionals are in high demand! According to a recent GitLab report,  DevOps skills are expected to grow 122% over the next five years,  making it one of the fastest growing skills in the workforce.",free,4.7,Approximately 12 months to complete,English,no prerequisites needed,No specify data,"Get exclusive access to career resources upon completion,Introduction to Technical Support ,Introduction to Hardware and Operating Systems,Introduction to Software, Programming, and Databases ,Introduction to Networking and Storage,Introduction to Cybersecurity Essentials,Introduction to Cloud Computing,Practice Exam for CompTIA ITF+ Certification,Technical Support (IT) Case Studies and Capstone,Tech Support Career Guide and Interview Preparation,Instructors,Offered by,More questions","IBM Skills Network TeamIBM58 Courses•840,269 learners,Rav AhujaIBM52 Courses•2,652,650 learners,Amy NortonIBM1 Course•37,404 learners,IBMLearn moreCloseOffered byIBMIBM is the global leader in business transformation through an open hybrid cloud platform and AI, serving clients in more than 170 countries around the world. Today 47 of the Fortune 50 Companies rely on the IBM Cloud to run their business, and IBM Watson enterprise AI is hard at work in more than 30,000 engagements. IBM is also one of the world’s most vital corporate research organizations, with 28 consecutive years of patent leadership. Above all, guided by principles for trust and transparency and support for a more inclusive society, IBM is committed to being a responsible technology innovator and a force for good in the world. 
For more information about IBM visit: www.ibm.comOK",Shareable Certificate,IBM Skills Network,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~devops-and-software-engineering/XDP~SPECIALIZATION!~devops-and-software-engineering.jpeg,https://www.coursera.org/professional-certificates/devops-and-software-engineering,2022-07-30 00:10:53
